Board_Size,Algorithm,Avg_Time_ms,Avg_Nodes,Success_Rate_%,Timeout_Rate_%
3x3,BFS,4.669,3436,100.0,0.0
3x3,A*-h1,0.075,51,100.0,0.0
3x3,A*-h2,0.204,145,100.0,0.0
4x4,BFS,0.023,10,100.0,0.0
4x4,A*-h1,0.010,3,100.0,0.0
4x4,A*-h2,0.010,3,100.0,0.0
5x5,BFS,1660.480,446734,0.0,100.0
5x5,A*-h1,5781.120,1000000,0.0,100.0
5x5,A*-h2,6254.975,1000000,0.0,100.0
