puzzle_index,thread_id,solution,nodes_expanded,per_puzzle_ms,threads_used
0,7,2,6,0.156966,8
1,4,2,10,0.322073,8
2,3,2,10,0.070159,8
3,0,2,6,0.009024,8
4,1,2,15,0.301884,8
5,6,2,10,0.167276,8
6,5,2,10,0.123832,8
7,2,2,10,0.308902,8
8,0,2,6,0.004148,8
9,0,2,15,0.011107,8
10,0,4,52,0.033532,8
11,0,4,52,0.057096,8
12,3,4,40,0.252007,8
13,0,4,39,0.04196,8
14,5,4,26,0.132073,8
15,7,4,37,0.134041,8
16,0,4,44,0.028711,8
17,6,4,40,0.148887,8
18,0,4,39,0.082374,8
19,5,4,49,0.044569,8
20,0,8,730,0.778307,8
21,7,8,832,3.34488,8
22,5,8,585,2.06187,8
23,1,8,763,1.84855,8
24,6,8,743,2.13394,8
25,2,8,865,3.59519,8
26,4,8,877,4.15044,8
27,3,8,858,2.95178,8
28,0,8,1093,0.614344,8
29,0,8,617,0.32549,8
30,0,8,886,0.570972,8
31,1,12,11575,93.7062,8
32,5,14,56746,432.783,8
33,6,14,61381,447.386,8
34,0,16,177669,325.083,8
35,3,-1,208640,1174.74,8
36,7,16,129438,833.12,8
37,2,16,206195,1222.44,8
38,4,-1,208871,1223.8,8
39,1,-1,208640,1120.34,8
40,0,-1,208693,382.203,8
41,5,-1,208640,832.306,8
