puzzle_index,thread_id,solution,nodes_expanded,per_puzzle_ms,threads_used
0,2,2,6,0.066923,4
1,0,2,10,0.010179,4
2,3,2,10,0.097829,4
3,1,2,6,0.071203,4
4,0,2,15,0.007837,4
5,0,2,10,0.005191,4
6,0,2,10,0.005167,4
7,0,2,10,0.004434,4
8,0,2,6,0.002679,4
9,0,2,15,0.006637,4
10,0,4,52,0.02507,4
11,2,4,52,0.028069,4
12,0,4,40,0.019955,4
13,1,4,39,0.028396,4
14,0,4,26,0.012736,4
15,2,4,37,0.019822,4
16,3,4,44,0.024128,4
17,0,4,40,0.017486,4
18,1,4,39,0.025513,4
19,2,4,49,0.023967,4
20,0,8,730,0.361893,4
21,3,8,832,0.908662,4
22,1,8,585,0.639807,4
23,2,8,763,0.69341,4
24,0,8,743,0.373438,4
25,1,8,865,0.711704,4
26,2,8,877,0.597969,4
27,0,8,858,0.395974,4
28,3,8,1093,0.750616,4
29,0,8,617,0.318433,4
30,2,8,886,0.572551,4
31,1,12,11575,13.9213,4
32,0,14,56746,74.9015,4
33,3,14,61381,158.161,4
34,2,16,177669,513.005,4
35,1,-1,208640,602.307,4
36,0,16,129438,222.931,4
37,3,16,206195,501.644,4
38,0,-1,208871,413.232,4
39,2,-1,208640,395.151,4
40,1,-1,208693,369.947,4
41,3,-1,208640,348.142,4
