Threads,Total_Time_ms,Avg_Time_per_Puzzle_ms,Total_Nodes,Avg_Nodes_per_Thread,Puzzles_Solved,Success_Rate_%
1,3306.546,78.727,1695853,1695853,37,88.10
2,3496.222,83.243,1695853,847926,37,88.10
4,3447.188,82.076,1695853,423963,37,88.10
8,8632.170,205.528,1695853,211982,37,88.10
