puzzle_index,thread_id,solution,nodes_expanded,per_puzzle_ms,threads_used
0,2,2,6,0.045654,4
1,3,2,10,0.09086,4
2,0,2,10,0.014286,4
3,1,2,6,0.134091,4
4,0,2,15,0.010138,4
5,0,2,10,0.006363,4
6,0,2,10,0.006723,4
7,0,2,10,0.005395,4
8,0,2,6,0.003662,4
9,2,2,15,0.087558,4
10,0,4,52,0.177615,4
11,3,4,52,0.032032,4
12,3,4,40,0.025779,4
13,2,4,39,0.030799,4
14,1,4,26,0.022403,4
15,3,4,37,0.023938,4
16,1,4,44,0.033714,4
17,2,4,40,0.023832,4
18,3,4,39,0.025071,4
19,2,4,49,0.032331,4
20,1,8,730,0.745543,4
21,3,8,832,1.40328,4
22,2,8,585,0.526418,4
23,0,8,763,0.548947,4
24,2,8,743,0.737785,4
25,0,8,865,0.664504,4
26,1,8,877,0.686646,4
27,0,8,858,0.76187,4
28,2,8,1093,0.764848,4
29,3,8,617,0.477284,4
30,1,8,886,0.604668,4
31,3,12,11575,23.9301,4
32,0,14,56746,117.04,4
33,1,14,61381,174.133,4
34,2,16,177669,497.77,4
35,3,-1,208640,566.208,4
36,0,16,129438,222.07,4
37,1,16,206195,456.575,4
38,0,-1,208871,354.066,4
39,2,-1,208640,360.712,4
40,3,-1,208693,334.043,4
41,1,-1,208640,331.887,4
