puzzle_index,thread_id,solution,nodes_expanded,per_puzzle_ms,threads_used
0,1,2,6,0.038914,2
1,0,2,10,0.015856,2
2,0,2,10,0.007599,2
3,0,2,6,0.004079,2
4,0,2,15,0.010893,2
5,0,2,10,0.006445,2
6,1,2,10,0.00838,2
7,0,2,10,0.005542,2
8,1,2,6,0.004154,2
9,0,2,15,0.009148,2
10,1,4,52,0.04125,2
11,0,4,52,0.036647,2
12,1,4,40,0.025889,2
13,0,4,39,0.025467,2
14,1,4,26,0.016989,2
15,0,4,37,0.024517,2
16,1,4,44,0.027499,2
17,0,4,40,0.023977,2
18,1,4,39,0.024596,2
19,0,4,49,0.031646,2
20,1,8,730,0.630378,2
21,0,8,832,0.576705,2
22,0,8,585,0.377765,2
23,1,8,763,0.530708,2
24,0,8,743,0.502949,2
25,1,8,865,0.632071,2
26,0,8,877,0.5483,2
27,1,8,858,0.57432,2
28,0,8,1093,0.886771,2
29,1,8,617,0.426857,2
30,1,8,886,0.583647,2
31,0,12,11575,11.2899,2
32,1,14,56746,114.657,2
33,0,14,61381,90.3874,2
34,0,16,177669,340.776,2
35,1,-1,208640,477.475,2
36,0,16,129438,235.543,2
37,1,16,206195,349.361,2
38,0,-1,208871,355.817,2
39,1,-1,208640,484.342,2
40,0,-1,208693,538.883,2
41,1,-1,208640,491.031,2
