Algorithm,Board_Size,Puzzle_Index,Solution_Length,Execution_Time_ms,Nodes_Expanded,Solvable,Timeout
0,0,ABCDEFG#I,-1,394.745,181440,false,BFS
1,0,ABCDEFGI#,-1,848.243,181440,false,BFS
2,0,ABCDEG#HI,-1,394.64,181440,false,BFS
3,0,ACBDEFGHI,-1,366.053,181440,false,BFS
4,0,BACDEFGHI,-1,763.194,181440,false,BFS
0,0,ABCDEFG#I,-1,694.16,181440,false,A*-h1
1,0,ABCDEFGI#,-1,1320.72,181440,false,A*-h1
2,0,ABCDEG#HI,-1,845.13,181440,false,A*-h1
3,0,ACBDEFGHI,-1,848.708,181440,false,A*-h1
4,0,BACDEFGHI,-1,781.611,181440,false,A*-h1
0,0,ABCDEFG#I,-1,821.896,181440,false,A*-h2
1,0,ABCDEFGI#,-1,840.127,181440,false,A*-h2
2,0,ABCDEG#HI,-1,1579.92,181440,false,A*-h2
3,0,ACBDEFGHI,-1,615.22,181440,false,A*-h2
4,0,BACDEFGHI,-1,781.281,181440,false,A*-h2
