puzzle_index,thread_id,solution,nodes_expanded,per_puzzle_ms,threads_used
0,0,2,6,0.008542,8
1,4,2,10,0.12863,8
2,2,2,10,0.532998,8
3,5,2,6,0.340203,8
4,1,2,15,0.119005,8
5,7,2,10,0.288098,8
6,3,2,10,0.180861,8
7,0,2,10,0.008073,8
8,6,2,6,0.607844,8
9,0,2,15,0.009074,8
10,0,4,52,0.031478,8
11,0,4,52,0.033111,8
12,0,4,40,0.025192,8
13,0,4,39,0.024768,8
14,1,4,26,0.021406,8
15,4,4,37,0.340781,8
16,1,4,44,0.039408,8
17,0,4,40,0.027583,8
18,0,4,39,0.026457,8
19,1,4,49,0.193702,8
20,3,8,730,4.04115,8
21,0,8,832,0.603532,8
22,7,8,585,2.77902,8
23,5,8,763,3.16843,8
24,1,8,743,3.66231,8
25,4,8,865,3.87696,8
26,2,8,877,4.5853,8
27,6,8,858,3.97156,8
28,0,8,1093,0.751148,8
29,0,8,617,0.392877,8
30,0,8,886,0.573012,8
31,0,12,11575,8.44304,8
32,7,14,56746,458.408,8
33,5,14,61381,518.043,8
34,1,16,177669,1156.13,8
35,3,-1,208640,1242.58,8
36,4,16,129438,973.084,8
37,6,16,206195,1225.06,8
38,2,-1,208871,1279.69,8
39,0,-1,208640,481.406,8
40,7,-1,208693,870.851,8
41,0,-1,208640,387.082,8
